Name,URL,Remote Testing,Adaptive/IRT,Job Level,Completion Time,Languages,Test Types
Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/,Yes Remote Testing,Yes IRT,"Mid-Professional,",Approximate Completion Time in minutes = 49,"English (USA),","Competencies, Personalities and behavior, Ability and aptitude, Biodata and situational Judgement"
Administrative Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,Yes Remote Testing,Yes IRT,"Entry-Level,",Approximate Completion Time in minutes = 36,"English (USA),","Ability and aptitude, Knowledge and Skills, Personalities and behavior"
Agency Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/,Yes Remote Testing,Yes IRT,"Front Line Manager, Manager, Supervisor,",Approximate Completion Time in minutes = 51,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior, Simulations"
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,Yes Remote Testing,No IRT,"General Population, Graduate, Entry-Level,",Approximate Completion Time in minutes = 30,"English International, German,","Biodata and situational Judgement, Personalities and behavior"
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,Yes Remote Testing,No IRT,"Entry-Level, General Population, Graduate,",Approximate Completion Time in minutes = 20,"English International, German, French,","Biodata and situational Judgement, Personalities and behavior"
Bank Administrative Assistant - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,Yes Remote Testing,No IRT,"Entry-Level,",Approximate Completion Time in minutes = 35,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Knowledge and Skills, Personalities and behavior"
Bank Collections Agent - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/,Yes Remote Testing,No IRT,"Entry-Level,",Approximate Completion Time in minutes = 45,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior"
Bank Operations Supervisor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,Yes Remote Testing,Yes IRT,"Front Line Manager, Manager, Supervisor,",Approximate Completion Time in minutes = 45,"English (USA),","Ability and aptitude, Biodata and situational Judgement, Personalities and behavior, Simulations"
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,Yes Remote Testing,Yes IRT,"Entry-Level,",Approximate Completion Time in minutes = 43,"English (USA), Latin American Spanish,","Biodata and situational Judgement, Personalities and behavior, Simulations, Ability and aptitude"
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,Yes Remote Testing,Yes IRT,"Entry-Level,",Approximate Completion Time in minutes = 49,"English (USA),","Personalities and behavior, Simulations, Knowledge and Skills, Biodata and situational Judgement, Ability and aptitude"
